ticker,entry_date,exit_date,entry_price,exit_price,profit_pct,weight,reason,is_crypto,asset_class,era,trade_id
MKR,2024-01-03,2024-02-02,1836.1983,1993.0872,8.54,0.028214,Time-Stop Stagnazione (21gg),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),1
INJ,2023-12-13,2024-01-31,25.6789,35.4062,37.88,0.028214,Time-Stop Stagnazione (21gg),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),2
GLD,2023-11-03,2024-01-26,430.25,435.42,1.2,0.1627,Ribilanciamento mensile (trim parziale),False,Oro,2012-2024 (Point-In-Time),3
EGLD,2023-12-04,2024-01-16,49.4463,53.217,7.63,0.028214,Time-Stop Stagnazione (21gg),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),4
AVAX,2023-12-10,2024-01-15,31.8572,35.2959,10.79,0.028214,Time-Stop Stagnazione (21gg),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),5
ICP,2023-12-10,2024-01-08,5.5784,11.2507,101.68,0.028214,Trailing Stop (30% dal picco),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),6
NEAR,2023-11-16,2024-01-08,1.7046,3.2053,88.04,0.0288,Trailing Stop (30% dal picco),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),7
ADA,2023-11-07,2024-01-05,0.3637,0.57,56.73,0.0288,Time-Stop Stagnazione (21gg),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),8
DOGE,2023-11-07,2024-01-02,0.0765,0.0919,20.24,0.0288,Time-Stop Stagnazione (21gg),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),9
ICP,2023-12-10,2023-12-30,5.5784,12.5513,125.0,0.028214,Freeride De-risk (recupero 100% capitale),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),10
LMT,2023-12-01,2023-12-29,417.84,421.4,0.85,0.014973,Rotazione trimestrale,False,Azioni (Low-Beta),2012-2024 (Point-In-Time),11
PARA,2023-12-01,2023-12-29,87049.3,15366.45,-82.35,0.014973,Rotazione trimestrale,False,Azioni (Low-Beta),2012-2024 (Point-In-Time),12
HUM,2023-12-01,2023-12-29,478.41,443.15,-7.37,0.014973,Rotazione trimestrale,False,Azioni (Low-Beta),2012-2024 (Point-In-Time),13
ORLY,2023-12-01,2023-12-29,65.37,63.34,-3.1,0.014973,Rotazione trimestrale,False,Azioni (Low-Beta),2012-2024 (Point-In-Time),14
GLD,2023-11-03,2023-12-29,430.25,445.1,3.45,0.1551,Ribilanciamento mensile (trim parziale),False,Oro,2012-2024 (Point-In-Time),15
NEAR,2023-11-16,2023-12-23,1.7046,3.8353,125.0,0.0288,Freeride De-risk (recupero 100% capitale),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),16
EOS,2023-12-10,2023-12-12,0.8562,0.7683,-10.27,0.028214,ATR Stop Loss (2.5x ATR),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),17
FIL,2023-11-07,2023-12-05,4.3411,4.7212,8.76,0.0288,Time-Stop Stagnazione (21gg),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),18
INJ,2023-11-07,2023-12-03,16.9816,17.766,4.62,0.0288,Time-Stop Stagnazione (21gg),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),19
ETC,2023-11-07,2023-12-02,18.5259,18.9523,2.3,0.0288,Time-Stop Stagnazione (21gg),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),20
AAVE,2023-11-07,2023-12-01,99.4794,98.1474,-1.34,0.0288,Time-Stop Stagnazione (21gg),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),21
XRP,2023-11-07,2023-11-15,0.7162,0.6291,-12.16,0.0288,ATR Stop Loss (2.5x ATR),True,Cryptovalute,2020-2024 (Crypto Frontier Venture),22
