date,nav_net,nav_gross
2017-10-09,100000.0,100000.0
2017-10-10,100000.0,100000.0
2017-10-11,100000.0,100000.0
2017-10-12,100000.0,100000.0
2017-10-13,100000.0,100000.0
2017-10-16,100000.0,100000.0
2017-10-17,100000.0,100000.0
2017-10-18,100000.0,100000.0
2017-10-19,100000.0,100000.0
2017-10-20,100000.0,100000.0
2017-10-23,100000.0,100000.0
2017-10-24,100000.0,100000.0
2017-10-25,100000.0,100000.0
2017-10-26,100000.0,100000.0
2017-10-27,99632.55960304754,99632.55960304754
2017-10-30,100819.81975250925,100819.81975250925
2017-10-31,102105.7739574573,102105.7739574573
2017-11-01,103203.88796115962,103203.88796115962
2017-11-02,104423.5355285451,104423.5355285451
2017-11-03,104826.93929201658,104826.93929201658
2017-11-06,104205.02420371777,104205.02420371777
2017-11-07,104678.62936953647,104678.62936953647
2017-11-08,105730.02911852309,105730.02911852309
2017-11-09,104697.11032849929,104697.11032849929
2017-11-10,102856.66918240924,102856.66918240924
2017-11-13,102727.25672756702,102727.25672756702
2017-11-14,103030.28849431824,103030.28849431824
2017-11-15,105210.45319033707,105210.45319033707
2017-11-16,107252.81203965704,107252.81203965704
2017-11-17,106661.06713033015,106661.06713033015
2017-11-20,108157.93392991419,108157.93392991419
2017-11-21,107894.37691073261,107894.37691073261
2017-11-22,108380.1825365694,108380.1825365694
2017-11-24,108340.26813080047,108340.26813080047
2017-11-27,112261.18144198637,112261.18144198637
2017-11-28,112991.4047557219,112991.4047557219
2017-11-29,112491.10494903928,112491.10494903928
2017-11-30,113305.01376708999,113305.01376708999
2017-12-01,114754.34848598784,114754.34848598784
2017-12-04,115933.11110538454,115933.11110538454
2017-12-05,116221.69117463175,116221.69117463175
2017-12-06,120724.98554365753,120724.98554365753
2017-12-07,127366.53707972568,127366.53707972568
2017-12-08,125529.10098238607,125529.10098238607
2017-12-11,125996.98147480414,125996.98147480414
2017-12-12,126707.20281671628,126707.20281671628
2017-12-13,125482.51828209907,125482.51828209907
