 Azioni_Top_N  Crypto_Top_N  CAGR_%  Max_DD_%
            5             8   40.58    -28.27
           10             8   39.74    -28.53
           20             8   39.17    -26.46
           15             8   38.57    -28.01
            5             3   28.60    -30.00
           10             3   27.75    -30.97
           20             3   27.26    -28.77
           15             3   26.71    -29.34
            5             2   25.87    -37.20
            5             5   25.22    -27.55
           10             2   25.05    -39.45
           20             2   24.59    -38.24
           10             5   24.43    -27.27
           15             2   24.03    -38.78
           20             5   23.94    -24.81
           15             5   23.41    -25.82
